Age,Revenu,Montant_Pret,Score_Credit,Statut_Emploi,Nb_Prets_Existant,Niveau_Education,Statut_Marital,Pret_Approuve
23,45156.15812005127,13183.854474695661,711,Employé,5,Licence,Divorcé,1
65,78487.15514374868,40314.00164778503,815,Indépendant,4,Licence,Marié,1
58,60692.23748370511,19675.25676082545,756,Employé,2,Licence,Marié,1
45,54344.08502,30280.535653991832,459,Employé,1,Licence,Célibataire,0
44,57876.36138754847,19466.971310088455,749,Chômeur,1,Secondaire,Marié,1
71,64462.44036812332,19692.56168,526,Chômeur,3,Secondaire,Célibataire,0
23,72336.28399,14159.706667779923,309,Retraité,7,Secondaire,Célibataire,0
61,40005.75542661238,21191.239293662777,717,Employé,0,Licence,Marié,1
30,39168.247347574565,23179.986944140473,759,Employé,1,Licence,Célibataire,1
23,82093.58431,12157.414910848202,489,Employé,2,Secondaire,Marié,1
50,51753.262555905385,18749.555841401158,548,Chômeur,8,Licence,Célibataire,0
78,31663.158148062517,13899.011339428864,500,Employé,9,Doctorat,Célibataire,1
63,68876.25419,42996.64069614839,364,Employé,4,Secondaire,Divorcé,0
65,69267.39612065374,19102.692300883813,847,Employé,0,Licence,Célibataire,1
62,29385.694854865873,35452.32151696559,312,Indépendant,0,Licence,Marié,1
66,64589.63430927213,18043.776691923118,605,Indépendant,8,Licence,Marié,1
49,74711.66184856747,22592.87641534908,308,Employé,4,Licence,Divorcé,0
25,67487.72903412527,6786.359283547308,679,Retraité,0,Licence,Célibataire,1
70,72639.62968,15529.274081321353,795,Retraité,8,Secondaire,Marié,1
45,31914.618038185017,22105.346707892466,653,Employé,5,Licence,Célibataire,1
49,66620.80309992391,35860.03830959867,633,Employé,3,Master,Célibataire,1
40,53947.60481059107,22219.82777676271,755,Chômeur,4,Secondaire,Célibataire,0
29,50344.196825507104,33837.20361192999,835,Employé,2,Doctorat,Célibataire,1
75,77411.11218839453,26407.2911,774,Employé,9,Secondaire,Marié,1
66,89585.49021,36274.013394646856,427,Employé,7,Licence,Célibataire,1
57,95887.40109200717,19409.577826949444,609,Retraité,1,Licence,Célibataire,1
42,86296.15743,43902.22710651804,750,Employé,7,Licence,Marié,1
69,57805.31636739633,15146.03797085877,462,Indépendant,1,Master,Célibataire,1
51,67054.40326052686,12335.38165802331,671,Employé,4,Secondaire,Célibataire,1
,,,,,,,,0
45,62423.55898598924,43310.24672,782,Etudiant,0,Licence,Célibataire,0
32,62615.283758230886,28194.47572617898,637,Employé,7,Master,Marié,1
23,76475.06263752365,16658.792666196914,708,Employé,2,Licence,Divorcé,1
52,58814.347079481355,32490.226968734947,754,Employé,6,Doctorat,Marié,1
73,45414.26127252677,26876.92185117782,420,Chômeur,4,Master,Marié,0
21,51710.53868328283,39661.274713755905,547,Employé,0,Secondaire,Célibataire,0
71,72678.20755467485,4521.671672600887,772,Employé,7,Master,Veuf,1
69,60059.86582399911,17346.398916857455,390,Employé,2,Doctorat,Célibataire,1
35,66804.19953736676,15374.786160571744,752,Employé,9,Secondaire,Célibataire,0
57,73401.58484,263.1732359,458,Employé,8,Licence,Célibataire,1
28,52503.170742047805,30603.27204779694,616,Employé,1,Secondaire,Célibataire,1
65,75124.96327259613,17296.034441966414,580,Employé,6,Licence,Marié,1
61,67576.85206916789,27396.31204986562,677,Employé,3,Secondaire,Célibataire,1
39,35303.73826177043,43597.71934329612,760,Chômeur,6,Licence,Célibataire,0
22,88846.09582372489,16467.563081723918,491,Indépendant,5,Licence,Célibataire,1
78,49985.10512486168,15788.470173428448,394,Employé,2,Licence,Veuf,1
45,26898.093136296324,21186.64169723996,532,Employé,6,Secondaire,Marié,1
73,39099.12580827395,29872.473529834097,636,Employé,2,Licence,Divorcé,1
60,39579.09678643356,14332.869746898501,712,Retraité,9,Licence,Divorcé,1
66,61043.466373150666,13690.384028678694,714,Employé,9,Licence,Divorcé,1
65,54522.98988907526,30571.892702413657,486,Employé,1,Secondaire,Célibataire,0
30,53263.36064718814,23786.393238380355,814,Employé,7,Secondaire,Célibataire,1
